order_id,user_id,restaurant_id,order_date,order_amount,discount_amount,delivery_cost
1000175,2750,1067,2025-10-29,261.16,282.63,105.62
1000176,7995,692,2025-10-07,790.94,249.6,72.6
1000177,7496,2050,2025-12-21,959.99,98.16,80.49
1000178,5832,948,2025-07-18,1201.28,21.79,118.04
1000179,1290,1376,2025-11-19,1151.64,130.7,104.2
1000180,735,2043,2025-11-28,1137.83,246.38,97.06
1000181,6430,2302,2025-06-11,775.88,340.49,70.46
1000182,6945,148,2025-09-12,-50.0,167.92,133.97
1000183,2419,646,2025-04-17,218.27,237.39,135.51
1000184,2405,663,2025-08-11,535.12,328.92,65.29
1000185,3942,1924,2025-11-29,137.74,178.29,71.74
1000186,6159,1524,2025-10-09,1086.48,21.25,121.61
1000187,7081,319,2025-11-03,681.83,239.12,135.74
1000188,3110,122,2025-04-18,321.19,222.05,78.75
1000189,5857,1023,2025-09-08,1102.58,327.29,75.85
1000190,7859,1983,2025-01-19,1066.87,184.28,27.83
1000191,6552,307,2025-08-29,670.62,319.43,70.63
1000192,6893,366,2025-04-22,143.18,331.79,116.65
1000193,7983,1583,2025-06-17,274.54,283.57,45.77
1000194,2612,741,2025-08-30,989.76,58.35,55.27
1000195,2173,1718,2025-01-01,725.22,289.12,36.6
1000196,7078,1662,2025-12-22,232.98,315.05,139.09
1000197,3584,359,2025-05-13,632.2,201.91,114.41
1000198,1464,391,2025-05-30,332.85,61.27,51.08
1000199,4334,233,2025-12-07,1034.86,180.33,100.52
1000200,7120,765,2025-12-19,766.11,146.09,53.9
1000201,6898,1677,2025-03-12,1054.14,296.86,124.07
1000202,855,1074,2025-11-22,497.8,187.53,77.27
1000203,7163,2050,2025-08-15,1208.67,161.64,28.11
1000204,6924,187,2025-11-16,1161.45,186.66,70.64
1000205,4603,1163,2025-12-09,1110.99,1444.287,129.3
1000206,1263,391,2025-04-16,1214.92,160.03,30.33
1000207,4056,2435,2025-05-26,774.72,226.27,30.86
1000208,7438,902,2025-10-01,1063.51,263.42,68.19
1000209,7092,1802,2025-09-09,796.96,56.95,26.21
1000210,6416,409,2025-11-03,1097.78,331.78,71.95
1000211,4621,2280,2025-04-05,1351.12,239.79,113.12
1000212,271,605,2025-04-12,575.5,180.89,137.72
1000213,7906,294,2025-06-09,975.23,38.16,
1000214,3634,1261,2025-07-23,884.33,135.51,83.23
1000215,5239,745,2025-06-25,917.53,26.3,26.34
1000216,2263,1940,2025-01-12,1291.77,10.49,87.64
1000217,3913,1043,2025-02-19,440.52,200.03,103.44
1000218,3084,2097,2025-06-01,1042.64,295.65,77.61
1000219,1897,503,2025-06-28,743.37,187.29,89.67
1000220,556,1700,2025-04-09,998.77,82.26,41.59
1000221,354,778,2025-10-23,162.7,90.88,
1000222,2648,1136,2025-03-17,1222.22,314.9,60.45
1000223,546,778,2025-03-30,284.42,297.81,73.21
1000224,2177,1958,2025-07-31,1282.74,199.35,40.01
1000225,2887,980,2025-05-27,914.59,57.88,32.29
1000226,6401,1849,2025-03-01,1025.67,127.02,80.76
1000227,6057,2232,2025-07-11,560.37,321.12,58.22
1000228,6253,2245,2025-10-29,335.21,287.84,106.3
1000229,6577,656,2025-03-17,703.07,76.45,60.03
1000230,7170,2145,2025-02-19,348.98,330.6,96.87
1000231,2556,787,2025-06-05,1224.86,347.59,109.26
1000232,264,2386,2025-05-09,650.14,205.51,117.1
1000233,1081,783,2025-09-21,1125.6,268.81,60.01
1000234,3791,2259,2025-07-31,459.29,261.68,34.98
1000235,4222,1211,2025-05-19,979.01,242.41,31.17
1000236,1962,1073,2025-11-25,1282.44,1.0,101.61
1000237,599,2116,2025-08-21,1251.27,271.72,96.08
1000238,5239,1193,2025-05-26,1070.07,277.82,66.38
1000239,7773,2134,2025-12-14,630.84,108.83,27.35
1000240,5053,1281,2025-12-23,910.71,343.37,132.52
1000241,7191,1409,2025-10-15,1266.79,182.99,
1000242,2716,2013,2025-06-25,624.83,73.97,35.73
1000243,6935,527,2025-05-11,1193.46,263.44,30.69
1000244,2175,1042,2025-12-04,1298.56,121.98,116.09
1000245,4514,2040,2025-01-07,690.07,146.39,78.66
1000246,598,606,2025-04-24,405.49,36.14,113.26
1000247,4311,781,2025-06-19,490.26,248.16,51.75
1000248,6172,374,2025-04-28,1075.47,178.78,51.24
1000249,7460,1979,2025-06-14,489.54,84.13,138.6
1000250,3306,2466,2025-04-12,645.32,132.69,32.68
1000251,3408,1683,2025-08-09,934.21,244.47,59.72
1000252,6836,1027,2025-05-15,938.67,290.86,30.28
1000253,1499,1345,2025-06-25,605.2,227.99,63.77
1000254,7154,916,2025-01-13,164.17,27.0,54.96
1000255,2198,399,2025-11-28,603.37,215.48,118.65
1000256,7609,359,2025-06-08,470.8,149.93,66.99
1000257,4187,1574,2025-05-25,764.57,311.61,81.69
1000258,4004,1927,2025-01-07,175.45,153.52,108.96
1000259,1664,1791,2025-09-20,681.84,73.63,90.06
1000260,2386,1614,2025-05-20,681.53,48.66,69.33
1000261,920,353,2025-03-12,901.36,247.2,25.8
1000262,553,922,2025-04-19,1010.83,1314.0790000000002,94.71
1000263,7388,1710,2025-07-07,262.1,22.47,49.59
1000264,3506,2374,2025-03-01,201.74,10.31,94.2
1000265,5953,758,2025-11-23,1342.69,118.48,98.71
1000266,1490,103,2025-07-08,646.92,123.91,73.85
1000267,6175,948,2025-06-25,812.48,199.12,66.98
1000268,107,1191,2025-03-03,875.87,271.67,123.64
1000269,1687,608,2025-09-18,1248.42,39.94,44.91
1000270,495,97,2025-04-03,1158.43,234.42,115.8
1000271,1207,2347,2025-08-07,151.69,123.74,72.33
1000272,279,1584,2025-05-09,1001.87,257.39,39.31
1000273,7630,934,2025-02-14,824.59,193.07,31.55
1000274,4506,2345,2025-10-24,1178.64,150.0,28.69
1000275,2792,1290,2025-08-17,1036.35,117.27,107.23
1000276,3885,1413,2025-09-13,215.54,272.42,122.48
1000277,1098,1071,2025-06-06,575.09,25.63,87.53
1000278,5662,2073,2025-07-07,1295.3,187.71,102.23
1000279,1629,588,2025-09-27,471.41,141.46,100.78
1000280,2682,1853,2025-09-22,1154.57,111.66,26.56
1000281,7184,1244,2025-01-22,1212.7,12.99,92.86
1000282,6572,306,2025-06-25,391.16,185.29,86.94
1000283,6799,96,2025-08-04,178.22,244.84,139.83
1000284,3809,2322,2025-11-15,563.56,276.99,25.38
1000285,6093,112,2025-05-15,1108.06,211.77,64.59
1000286,93,1732,2025-10-15,912.22,335.51,69.24
1000287,3449,2112,2025-04-03,1374.05,56.48,59.05
1000288,7802,2475,2025-09-01,917.63,1192.919,118.85
1000289,1518,1017,2025-09-13,775.83,265.75,137.06
1000290,414,1809,2025-06-18,754.66,225.98,46.71
1000291,513,1113,2025-03-10,677.74,226.59,42.59
1000292,3241,1251,2025-05-06,585.57,3.08,101.17
1000293,6768,418,2025-05-13,545.22,253.45,101.52
1000294,117,1044,2025-11-08,498.31,273.87,52.76
1000295,3650,1517,2025-12-20,575.93,307.82,42.84
1000296,6769,2121,2025-02-20,825.36,315.57,78.0
1000297,1589,1850,2025-05-01,931.13,131.78,130.44
1000298,22,813,2025-05-07,553.26,719.238,81.24
1000299,5587,1625,2025-05-07,629.45,118.77,87.43
1000300,4789,1136,2025-01-18,359.25,242.44,138.01
1000301,801,513,2025-04-11,1296.22,111.93,120.39
1000302,7634,410,2025-12-25,995.62,165.17,25.67
1000303,6002,467,2025-09-26,1265.96,126.24,41.99
1000304,6274,2041,2025-05-02,1049.84,312.12,45.01
1000305,6296,848,2025-03-08,151.2,227.99,68.96
1000306,373,2224,2025-10-02,890.94,266.59,31.97
1000307,6668,2225,2025-12-15,1192.56,275.18,29.2
1000308,4751,305,2025-09-11,1117.19,256.02,110.03
1000309,6556,1286,2025-06-29,161.85,256.59,34.88
1000310,7051,2214,2025-09-13,1343.11,346.81,32.1
1000311,1229,1629,2025-07-11,1042.01,307.94,129.61
1000312,7997,2132,2025-12-07,947.59,115.14,42.18
1000313,4980,2401,2025-01-30,405.71,65.54,101.92
1000314,2829,1160,2025-04-09,379.44,113.79,85.47
1000315,5282,1351,2025-12-07,1219.55,105.87,32.25
1000316,5243,1448,2025-11-17,764.5,100.54,99.97
1000317,4800,277,2025-04-29,272.14,58.52,29.61
1000318,1791,1427,2025-08-06,746.71,334.34,73.24
1000319,1921,1176,2025-09-23,763.48,60.03,118.41
1000320,3630,1012,2025-09-01,1071.65,336.5,105.19
1000321,856,1999,2025-04-07,674.73,317.81,118.14
1000322,826,428,2025-01-24,1018.31,246.38,132.97
1000323,7437,1513,2025-12-31,1240.88,189.56,133.37
1000324,6577,1289,2025-06-25,1326.46,196.76,83.95
1000325,1997,109,2025-01-22,595.88,50.69,90.87
1000326,1912,1565,2025-02-13,1110.06,320.4,26.74
1000327,5724,2265,2025-05-21,983.0,329.53,77.9
1000328,7701,2417,2025-06-28,921.15,31.39,65.68
1000329,3540,2092,2025-03-02,934.84,346.47,113.67
1000330,4706,1296,2025-09-06,133.67,119.9,75.87
1000331,3093,693,2025-03-18,178.11,331.71,64.71
1000332,5814,260,2025-09-20,473.68,30.37,109.36
1000333,840,672,2025-09-28,946.25,280.9,38.95
1000334,3532,1685,2025-03-31,673.18,290.16,122.39
1000335,7396,554,2025-11-20,500.92,344.37,132.72
1000336,7037,224,2025-02-19,1111.71,274.96,130.45
1000337,4533,1701,2025-09-22,1003.48,99.72,44.71
1000338,3632,109,2025-11-15,559.39,47.29,48.22
1000339,19,1119,2025-03-18,558.42,11.7,86.22
1000340,5151,1150,2025-07-12,621.26,335.1,96.14
1000341,2850,1266,2025-03-06,811.78,186.69,120.02
1000342,6119,825,2025-06-05,1046.7,316.67,53.55
1000343,5408,510,2025-04-22,1337.72,102.81,93.41
1000344,2625,163,2025-10-26,655.85,236.64,88.7
1000345,7115,1049,2025-06-21,1350.0,287.46,80.81
1000346,2679,1606,2025-08-29,1266.94,174.63,133.37
1000347,7604,1525,2025-02-10,850.08,193.01,31.53
1000348,2659,413,2025-09-03,764.02,194.06,105.71
1000349,7996,1798,2025-06-23,763.88,248.85,101.43
1000350,2257,291,2025-07-23,351.78,168.54,91.42
1000351,4623,1145,2025-04-17,581.97,298.99,85.85
1000352,6515,1656,2025-06-26,254.32,282.54,30.42
1000353,1193,739,2025-01-11,783.53,287.85,53.02
1000354,5076,768,2025-09-09,473.65,163.03,103.66
1000355,7113,426,2025-09-08,908.86,67.16,113.14
1000356,4859,485,2025-04-13,424.33,317.57,120.94
1000357,7671,893,2025-04-12,472.31,79.96,56.05
1000358,2635,485,2025-10-07,404.82,349.19,82.82
1000359,1260,1236,2025-09-15,646.05,296.43,78.05
1000360,6140,1153,2025-03-02,977.41,230.38,97.45
1000361,2623,1571,2025-12-19,367.15,314.37,77.76
1000362,4909,747,2025-08-24,650.05,161.27,81.59
1000363,6464,1855,2025-04-25,724.06,243.01,
1000364,7571,88,2025-11-04,163.17,273.62,54.27
1000365,1222,572,2025-02-21,1211.66,143.24,69.03
1000366,4128,2153,2025-06-22,245.48,300.44,58.8
1000367,6461,1199,2025-03-18,317.63,108.26,63.24
1000368,1002,691,2025-02-22,753.76,32.18,44.77
1000369,6592,1710,2025-04-08,203.88,182.61,67.4
1000370,3723,1119,2025-10-14,482.36,256.53,83.24
1000371,4300,879,2025-11-25,376.9,11.65,112.61
1000372,3392,986,2025-06-12,1395.32,171.13,50.49
1000373,2870,1444,2025-07-05,744.92,246.52,49.61
1000374,7603,124,2025-12-17,1125.27,171.98,55.27
1000375,5905,2323,2025-02-10,1360.4,104.89,93.33
1000376,6180,1451,2025-07-30,554.72,17.01,116.42
1000377,3866,1453,2025-02-23,1098.73,115.44,61.01
1000378,4719,1436,2025-10-04,1154.41,110.19,42.48
1000379,2914,533,2025-01-23,469.48,167.64,130.65
1000380,6169,2077,2025-06-02,1017.53,176.47,76.56
1000381,2110,2371,2025-11-17,708.17,248.69,58.6
1000382,5781,45,2025-07-16,470.49,253.45,125.35
1000383,2051,618,2025-08-25,685.16,134.56,114.18
1000384,4496,287,2025-08-30,301.64,291.39,
1000385,3185,1594,2025-05-19,1244.31,194.2,116.92
1000386,2491,1714,2025-06-25,264.86,302.33,86.33
1000387,3802,1833,2025-06-04,974.21,284.18,126.6
1000388,3132,1861,2025-10-07,292.5,6.4,78.35
1000389,3773,1007,2025-01-13,525.37,210.91,89.98
1000390,6755,2457,2025-04-07,647.64,58.53,37.03
1000391,5836,1509,2025-09-08,583.44,46.42,124.61
1000392,5863,567,2025-04-01,543.35,64.0,112.6
1000393,6822,1060,2025-02-10,1098.02,190.94,105.12
1000394,5541,2271,2025-04-15,1070.66,1391.8580000000002,93.58
1000395,4840,1242,2025-06-26,565.22,325.64,36.79
1000396,4297,2294,2025-12-13,1275.44,133.49,92.02
1000397,1295,1118,2025-10-25,306.37,38.29,30.14
1000398,7621,2317,2025-08-06,710.65,135.25,117.92
1000399,2688,1994,2025-04-07,703.32,9.45,37.51
1000400,7741,2344,2025-02-02,318.45,294.07,95.91
1000401,1818,2025,2025-12-09,777.41,314.28,117.89
1000402,7858,1685,2025-02-12,1208.94,201.92,29.24
1000403,5284,331,2025-09-28,230.17,170.63,98.07
1000404,6588,1012,2025-12-27,391.48,508.92400000000004,77.55
1000405,4547,2104,2025-01-23,808.22,163.23,99.15
1000406,6693,2067,2025-11-07,1380.22,259.63,88.88
1000407,4084,2351,2025-03-06,786.88,107.04,132.86
1000408,7192,475,2025-01-09,1083.1,84.16,99.22
1000409,7416,1455,2025-09-27,653.73,81.52,31.62
1000410,6892,1439,2025-09-07,731.78,46.91,28.14
1000411,171,1085,2025-08-13,454.53,254.03,41.87
1000412,7518,599,2025-11-01,531.86,312.82,94.3
1000413,6519,2079,2025-12-05,1194.92,292.65,86.49
1000414,5501,675,2025-05-10,173.33,319.08,46.06
1000415,2972,2425,2025-05-21,1089.71,73.51,79.55
1000416,4387,1817,2025-01-15,1157.21,44.71,52.58
1000417,1664,735,2025-07-30,276.9,148.45,112.26
1000418,7118,1976,2025-10-17,568.49,110.58,70.85
1000419,115,350,2025-05-19,1053.19,289.55,81.6
1000420,5759,1202,2025-09-28,1286.52,304.59,98.59
1000421,2021,679,2025-01-22,589.99,160.0,77.33
1000422,5754,1950,2025-05-19,1246.71,198.35,84.76
1000423,7410,724,2025-03-11,882.32,154.39,94.96
1000424,5197,1786,2025-08-25,504.25,190.04,91.45
1000425,7050,299,2025-04-17,818.35,289.15,136.6
1000426,6462,367,2025-04-18,1059.31,252.75,97.09
1000427,5853,2422,2025-05-05,1278.64,135.85,60.52
1000428,1663,2281,2025-03-17,509.39,135.25,132.58
1000429,3576,389,2025-01-15,216.69,79.41,139.15
1000430,2138,1667,2025-11-22,811.54,39.74,66.4
1000431,3826,1337,2025-12-07,643.27,262.07,129.31
1000432,2272,1529,2025-12-12,590.32,295.73,39.41
1000433,486,163,2025-10-26,1326.62,189.76,75.7
1000434,6975,290,2025-05-19,505.14,81.66,30.66
1000435,7339,1990,2025-03-09,178.31,94.48,120.53
1000436,3491,668,2025-09-07,643.05,105.04,124.45
1000437,3241,58,2025-07-31,649.1,5.05,101.45
1000438,2535,762,2025-07-05,1293.1,93.75,35.42
1000439,4812,2245,2025-01-02,799.43,216.46,94.24
1000440,3773,1376,2025-08-11,291.86,182.47,83.35
1000441,1756,1767,2025-08-03,652.13,226.6,117.65
1000442,6531,1454,2025-12-24,990.41,286.95,28.59
1000443,3885,1100,2025-01-30,1368.55,326.78,64.93
1000444,7606,2158,2025-09-17,-50.0,235.37,30.93
1000445,1093,688,2025-02-23,859.47,265.33,48.71
1000446,2312,1831,2025-09-13,1389.99,12.47,26.69
1000447,4749,955,2025-10-27,191.51,52.09,42.99
1000448,1812,12,2025-01-22,219.02,217.69,135.69
1000449,4017,654,2025-07-27,1369.37,121.31,99.02
1000450,191,1026,2025-12-23,1108.91,262.35,109.34
1000451,4966,1774,2025-03-11,977.64,129.91,127.46
1000452,466,1931,2025-09-10,534.63,171.62,58.15
1000453,1288,1294,2025-09-09,902.15,33.7,78.42
1000454,153,256,2025-03-31,607.15,96.38,38.05
1000455,1643,191,2025-03-16,198.8,323.63,109.62
1000456,6317,260,2025-09-20,1248.71,337.55,69.8
1000457,5078,2482,2025-07-26,305.38,29.4,82.05
1000458,1959,1028,2025-03-09,386.24,71.99,105.14
1000459,1014,1728,2025-09-15,631.64,264.25,
1000460,5365,381,2025-08-04,411.55,86.82,59.76
1000461,104,83,2025-05-23,690.68,327.28,106.26
1000462,1373,1698,2025-05-17,1334.62,222.67,76.84
1000463,1443,899,2025-02-13,1346.29,209.31,79.07
1000464,3689,1307,2025-05-03,186.3,105.66,135.89
1000465,4703,1905,2025-03-01,251.4,267.43,106.9
1000466,4350,1019,2025-08-24,972.81,209.25,95.28
1000467,5569,1965,2025-11-28,808.68,228.6,62.18
1000468,7868,713,2025-07-06,858.27,117.76,91.79
1000469,3157,2024,2025-10-19,1199.86,70.96,93.35
1000470,7338,2492,2025-02-20,351.48,147.88,84.93
1000471,7779,477,2025-09-19,484.22,61.01,134.13
1000472,4451,1384,2025-10-01,1233.33,182.54,34.84
1000473,470,244,2025-09-20,931.68,43.14,123.9
1000474,5840,1774,2025-04-04,510.63,58.97,109.37
1000475,1473,95,2025-09-23,1157.97,13.15,137.18
1000476,2297,1606,2025-04-21,357.67,183.57,46.73
1000477,23,3,2025-03-12,1062.82,182.91,114.26
1000478,4397,3,2025-01-09,687.52,96.1,67.85
1000479,4145,803,2025-02-17,999.66,262.72,81.08
1000480,1629,2200,2025-06-18,677.42,880.646,115.22
1000481,1270,1935,2025-04-29,554.72,179.34,82.98
1000482,72,2254,2025-06-10,794.65,72.67,77.04
1000483,881,1938,2025-04-27,1213.33,100.19,26.5
1000484,3116,1963,2025-03-05,1320.87,4.32,111.3
